date,transaction_count,total_revenue,total_quantity,company,dayofweek,month,year,is_weekend
2024-12-12,210,1743.85,474.0,forge,3,12,2024,0
2024-12-13,244,1985.62,544.0,forge,4,12,2024,0
2024-12-14,314,2882.91,789.0,forge,5,12,2024,1
2024-12-15,225,2266.41,628.0,forge,6,12,2024,1
2024-12-16,182,1547.98,433.0,forge,0,12,2024,0
2024-12-17,178,1620.59,441.0,forge,1,12,2024,0
2024-12-18,193,1532.77,410.0,forge,2,12,2024,0
2024-12-19,205,1585.53,418.0,forge,3,12,2024,0
2024-12-20,215,2008.77,548.0,forge,4,12,2024,0
2024-12-21,305,3038.94,809.0,forge,5,12,2024,1
2024-12-22,202,2389.16,653.0,forge,6,12,2024,1
2024-12-23,206,1954.12,524.0,forge,0,12,2024,0
2024-12-24,176,1811.26,487.0,forge,1,12,2024,0
2024-12-28,154,1577.26,441.0,forge,5,12,2024,1
2024-12-29,146,1823.49,511.0,forge,6,12,2024,1
2024-12-30,115,1119.15,315.0,forge,0,12,2024,0
2024-12-31,145,1270.5,344.0,forge,1,12,2024,0
2025-01-02,186,1693.09,463.0,forge,3,1,2025,0
2025-01-03,236,2074.47,583.0,forge,4,1,2025,0
2025-01-04,257,2506.83,700.0,forge,5,1,2025,1
2025-01-05,138,2017.48,563.0,forge,6,1,2025,1
2025-01-06,141,2020.73,537.0,forge,0,1,2025,0
2025-01-07,107,1822.34,512.0,forge,1,1,2025,0
2025-01-08,139,1738.77,472.0,forge,2,1,2025,0
2025-01-09,136,1594.7,436.0,forge,3,1,2025,0
2025-01-10,150,1856.57,505.0,forge,4,1,2025,0
2025-01-11,303,2838.33,797.0,forge,5,1,2025,1
2025-01-12,203,2287.0299999999997,641.0,forge,6,1,2025,1
2025-01-13,135,1086.49,302.0,forge,0,1,2025,0
2025-01-14,57,499.6,142.0,forge,1,1,2025,0
2025-01-15,100,1222.2,330.0,forge,2,1,2025,0
2025-01-16,179,1587.6299999999999,433.0,forge,3,1,2025,0
2025-01-17,202,1750.18,490.0,forge,4,1,2025,0
2025-01-18,287,2388.39,653.0,forge,5,1,2025,1
2025-01-19,186,2252.37,630.0,forge,6,1,2025,1
2025-01-20,163,1537.29,432.0,forge,0,1,2025,0
2025-01-21,154,1646.1200000000001,453.0,forge,1,1,2025,0
2025-01-22,169,1368.6,385.0,forge,2,1,2025,0
2025-01-23,172,1403.04,381.0,forge,3,1,2025,0
2025-01-24,211,1849.9,509.0,forge,4,1,2025,0
2025-01-25,319,2653.74,739.0,forge,5,1,2025,1
2025-01-26,223,2234.67,621.0,forge,6,1,2025,1
2025-01-27,156,1427.75,398.0,forge,0,1,2025,0
2025-01-28,146,1420.05,389.0,forge,1,1,2025,0
2025-01-29,217,1452.41,405.0,forge,2,1,2025,0
2025-01-30,211,1621.42,456.0,forge,3,1,2025,0
2025-01-31,232,1849.16,512.0,forge,4,1,2025,0
2025-02-01,303,2799.16,767.0,forge,5,2,2025,1
2025-02-02,247,2352.44,623.0,forge,6,2,2025,1
2025-02-03,211,1688.16,445.0,forge,0,2,2025,0
2025-02-04,198,1548.65,433.0,forge,1,2,2025,0
2025-02-05,211,1372.17,388.0,forge,2,2,2025,0
2025-02-06,196,1647.53,439.0,forge,3,2,2025,0
2025-02-07,251,1980.3799999999999,536.0,forge,4,2,2025,0
2025-02-08,298,2635.32,703.0,forge,5,2,2025,1
2025-02-09,230,2164.45,591.0,forge,6,2,2025,1
2025-02-10,197,1444.58,388.0,forge,0,2,2025,0
2025-02-11,214,1698.57,453.0,forge,1,2,2025,0
2025-02-12,204,1519.91,415.0,forge,2,2,2025,0
2025-02-13,236,1903.8600000000001,490.0,forge,3,2,2025,0
2025-02-14,254,2348.75,613.0,forge,4,2,2025,0
2025-02-15,290,2456.34,675.0,forge,5,2,2025,1
2025-02-16,248,2503.66,682.0,forge,6,2,2025,1
2025-02-17,201,1534.4,402.0,forge,0,2,2025,0
2025-02-18,199,1659.97,431.0,forge,1,2,2025,0
2025-02-19,219,1558.65,413.0,forge,2,2,2025,0
2025-02-20,222,1761.81,481.0,forge,3,2,2025,0
2025-02-21,255,2203.29,587.0,forge,4,2,2025,0
2025-02-22,317,2860.63,777.0,forge,5,2,2025,1
